ds,AutoARIMA,AutoARIMA-lo-90,AutoARIMA-hi-90,AutoETS,AutoETS-lo-90,AutoETS-hi-90
2041-01-01,62194172.0,51788148.0,72600190.0,58733548.0,53382204.0,64084890.0
2041-04-01,62509284.0,51877428.0,73141144.0,58997720.0,53535276.0,64460160.0
2041-07-01,62824400.0,51965100.0,73683700.0,59261890.0,53687588.0,64836190.0
2041-10-01,63139510.0,52051170.0,74227860.0,59526060.0,53839148.0,65212972.0
2042-01-01,63454624.0,52135652.0,74773600.0,59790230.0,53989964.0,65590504.0
2042-04-01,63769740.0,52218560.0,75320920.0,60054404.0,54140030.0,65968776.0
2042-07-01,64084852.0,52299896.0,75869810.0,60318576.0,54289364.0,66347784.0
2042-10-01,64399964.0,52379680.0,76420250.0,60582748.0,54437964.0,66727530.0
2043-01-01,64715080.0,52457920.0,76972240.0,60846920.0,54585836.0,67108000.0
2043-04-01,65030190.0,52534620.0,77525770.0,61111090.0,54732980.0,67489200.0
2043-07-01,65345308.0,52609796.0,78080820.0,61375260.0,54879410.0,67871110.0
2043-10-01,65660420.0,52683456.0,78637384.0,61639430.0,55025120.0,68253740.0
2044-01-01,65975532.0,52755610.0,79195460.0,61903604.0,55170120.0,68637090.0
2044-04-01,66290650.0,52826260.0,79755030.0,62167776.0,55314416.0,69021140.0
2044-07-01,66605760.0,52895428.0,80316100.0,62431948.0,55458010.0,69405890.0
2044-10-01,66920870.0,52963116.0,80878630.0,62696116.0,55600900.0,69791336.0
2045-01-01,67235980.0,53029330.0,81442650.0,62960290.0,55743096.0,70177480.0
2045-04-01,67551100.0,53094084.0,82008120.0,63224460.0,55884604.0,70564320.0
2045-07-01,67866216.0,53157384.0,82575050.0,63488630.0,56025424.0,70951840.0
2045-10-01,68181330.0,53219240.0,83143416.0,63752804.0,56165564.0,71340040.0
2046-01-01,68496440.0,53279656.0,83713224.0,64016976.0,56305020.0,71728930.0
2046-04-01,68811550.0,53338644.0,84284460.0,64281148.0,56443804.0,72118490.0
2046-07-01,69126670.0,53396212.0,84857120.0,64545316.0,56581916.0,72508720.0
2046-10-01,69441784.0,53452370.0,85431200.0,64809490.0,56719360.0,72899624.0
2047-01-01,69756900.0,53507116.0,86006670.0,65073660.0,56856136.0,73291180.0
2047-04-01,70072010.0,53560464.0,86583550.0,65337830.0,56992252.0,73683410.0
2047-07-01,70387120.0,53612424.0,87161816.0,65602004.0,57127710.0,74076296.0
2047-10-01,70702230.0,53663004.0,87741470.0,65866176.0,57262510.0,74469830.0
2048-01-01,71017350.0,53712204.0,88322500.0,66130348.0,57396664.0,74864024.0
2048-04-01,71332460.0,53760036.0,88904890.0,66394516.0,57530170.0,75258860.0
2048-07-01,71647576.0,53806504.0,89488650.0,66658690.0,57663028.0,75654350.0
2048-10-01,71962690.0,53851616.0,90073760.0,66922860.0,57795244.0,76050470.0
2049-01-01,72277800.0,53895384.0,90660220.0,67187030.0,57926824.0,76447240.0
2049-04-01,72592920.0,53937810.0,91248024.0,67451200.0,58057770.0,76844640.0
2049-07-01,72908030.0,53978896.0,91837160.0,67715380.0,58188076.0,77242670.0
2049-10-01,73223144.0,54018656.0,92427630.0,67979544.0,58317756.0,77641336.0
2050-01-01,73538260.0,54057096.0,93019416.0,68243720.0,58446810.0,78040620.0
