"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1953-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","535000","","","","0"
"1953-10","Quebec","2016A000224","Persons","249","units","0","v11","6","4310000","","","","0"
"1953-10","Ontario","2016A000235","Persons","249","units","0","v12","7","5002000","","","","0"
"1953-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","814000","","","","0"
"1953-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","866000","","","","0"
"1953-10","Alberta","2016A000248","Persons","249","units","0","v15","10","1029000","","","","0"
"1953-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","1265000","","","","0"
"1953-10","Yukon","2016A000260","Persons","249","units","0","v4","12","9000","","","","0"
"1953-10","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","16000","","","t","0"
"1954-01","Canada","2016A000011124","Persons","249","units","0","v1","1","15105000","","","","0"
"1954-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","390000","","","","0"
"1954-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","101000","","","","0"
"1954-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","668000","","","","0"
"1954-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","537000","","","","0"
"1954-01","Quebec","2016A000224","Persons","249","units","0","v11","6","4337000","","","","0"
"1954-01","Ontario","2016A000235","Persons","249","units","0","v12","7","5047000","","","","0"
"1954-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","816000","","","","0"
"1954-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","867000","","","","0"
"1954-01","Alberta","2016A000248","Persons","249","units","0","v15","10","1039000","","","","0"
"1954-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","1278000","","","","0"
"1954-01","Yukon","2016A000260","Persons","249","units","0","v4","12","9000","","","","0"
"1954-01","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","16000","","","t","0"
"1954-04","Canada","2016A000011124","Persons","249","units","0","v1","1","15199000","","","","0"
"1954-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","393000","","","","0"
"1954-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","101000","","","","0"
"1954-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","670000","","","","0"
"1954-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","538000","","","","0"
"1954-04","Quebec","2016A000224","Persons","249","units","0","v11","6","4365000","","","","0"
"1954-04","Ontario","2016A000235","Persons","249","units","0","v12","7","5082000","","","","0"
"1954-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","819000","","","","0"
"1954-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","869000","","","","0"
"1954-04","Alberta","2016A000248","Persons","249","units","0","v15","10","1047000","","","","0"
"1954-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","1288000","","","","0"
"1954-04","Yukon","2016A000260","Persons","249","units","0","v4","12","10000","","","","0"
"1954-04","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","17000","","","t","0"
"1954-07","Canada","2016A000011124","Persons","249","units","0","v1","1","15330000","","","","0"
"1954-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","396000","","","","0"
"1954-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","101000","","","","0"
"1954-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","674000","","","","0"
"1954-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","541000","","","","0"
"1954-07","Quebec","2016A000224","Persons","249","units","0","v11","6","4402000","","","","0"
"1954-07","Ontario","2016A000235","Persons","249","units","0","v12","7","5130000","","","","0"
"1954-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","825000","","","","0"
"1954-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","874000","","","","0"
"1954-07","Alberta","2016A000248","Persons","249","units","0","v15","10","1061000","","","","0"
"1954-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","1299000","","","","0"
"1954-07","Yukon","2016A000260","Persons","249","units","0","v4","12","10000","","","","0"
"1954-07","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","17000","","","t","0"
"1954-10","Canada","2016A000011124","Persons","249","units","0","v1","1","15444000","","","","0"
"1954-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","399000","","","","0"
"1954-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","101000","","","","0"
"1954-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","676000","","","","0"
"1954-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","543000","","","","0"
"1954-10","Quebec","2016A000224","Persons","249","units","0","v11","6","4436000","","","","0"
"1954-10","Ontario","2016A000235","Persons","249","units","0","v12","7","5174000","","","","0"
"1954-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","830000","","","","0"
"1954-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","877000","","","","0"
"1954-10","Alberta","2016A000248","Persons","249","units","0","v15","10","1070000","","","","0"
"1954-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","1311000","","","","0"
"1954-10","Yukon","2016A000260","Persons","249","units","0","v4","12","10000","","","","0"
"1954-10","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","17000","","","t","0"
"1955-01","Canada","2016A000011124","Persons","249","units","0","v1","1","15535000","","","","0"
"1955-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","401000","","","","0"
"1955-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","100000","","","","0"
"1955-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","678000","","","","0"
"1955-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","544000","","","","0"
"1955-01","Quebec","2016A000224","Persons","249","units","0","v11","6","4465000","","","","0"
"1955-01","Ontario","2016A000235","Persons","249","units","0","v12","7","5208000","","","","0"
"1955-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","833000","","","","0"
"1955-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","877000","","","","0"
"1955-01","Alberta","2016A000248","Persons","249","units","0","v15","10","1078000","","","","0"
"1955-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","1323000","","","","0"
"1955-01","Yukon","2016A000260","Persons","249","units","0","v4","12","11000","","","","0"
"1955-01","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","17000","","","t","0"
"1955-04","Canada","2016A000011124","Persons","249","units","0","v1","1","15620000","","","","0"
"1955-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","404000","","","","0"
"1955-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","100000","","","","0"
"1955-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","681000","","","","0"
"1955-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","546000","","","","0"
"1955-04","Quebec","2016A000224","Persons","249","units","0","v11","6","4492000","","","","0"
"1955-04","Ontario","2016A000235","Persons","249","units","0","v12","7","5236000","","","","0"
"1955-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","837000","","","","0"
"1955-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","877000","","","","0"
"1955-04","Alberta","2016A000248","Persons","249","units","0","v15","10","1084000","","","","0"
"1955-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","1334000","","","","0"
"1955-04","Yukon","2016A000260","Persons","249","units","0","v4","12","11000","","","","0"
"1955-04","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","18000","","","t","0"
"1955-07","Canada","2016A000011124","Persons","249","units","0","v1","1","15736000","","","","0"
"1955-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","407000","","","","0"
"1955-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","100000","","","","0"
"1955-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","684000","","","","0"
"1955-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","548000","","","","0"
"1955-07","Quebec","2016A000224","Persons","249","units","0","v11","6","4529000","","","","0"
"1955-07","Ontario","2016A000235","Persons","249","units","0","v12","7","5278000","","","","0"
"1955-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","841000","","","","0"
"1955-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","879000","","","","0"
"1955-07","Alberta","2016A000248","Persons","249","units","0","v15","10","1094000","","","","0"
"1955-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","1347000","","","","0"
"1955-07","Yukon","2016A000260","Persons","249","units","0","v4","12","11000","","","","0"
"1955-07","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","18000","","","t","0"
"1955-10","Canada","2016A000011124","Persons","249","units","0","v1","1","15834000","","","","0"
"1955-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","410000","","","","0"
"1955-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","100000","","","","0"
"1955-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","688000","","","","0"
"1955-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","550000","","","","0"
"1955-10","Quebec","2016A000224","Persons","249","units","0","v11","6","4557000","","","","0"
"1955-10","Ontario","2016A000235","Persons","249","units","0","v12","7","5311000","","","","0"
"1955-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","844000","","","","0"
"1955-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","880000","","","","0"
"1955-10","Alberta","2016A000248","Persons","249","units","0","v15","10","1102000","","","","0"
"1955-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","1362000","","","","0"
"1955-10","Yukon","2016A000260","Persons","249","units","0","v4","12","12000","","","","0"
"1955-10","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","18000","","","t","0"
"1956-01","Canada","2016A000011124","Persons","249","units","0","v1","1","15919000","","","","0"
"1956-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","412000","","","","0"
"1956-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","100000","","","","0"
"1956-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","690000","","","","0"
"1956-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","552000","","","","0"
"1956-01","Quebec","2016A000224","Persons","249","units","0","v11","6","4581000","","","","0"
"1956-01","Ontario","2016A000235","Persons","249","units","0","v12","7","5344000","","","","0"
"1956-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","845000","","","","0"
"1956-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","879000","","","","0"
"1956-01","Alberta","2016A000248","Persons","249","units","0","v15","10","1109000","","","","0"
"1956-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","1377000","","","","0"
"1956-01","Yukon","2016A000260","Persons","249","units","0","v4","12","12000","","","","0"
"1956-01","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","18000","","","t","0"
"1956-04","Canada","2016A000011124","Persons","249","units","0","v1","1","16004000","","","","0"
"1956-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","414000","","","","0"
"1956-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","99000","","","","0"
"1956-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","693000","","","","0"
"1956-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","553000","","","","0"
"1956-04","Quebec","2016A000224","Persons","249","units","0","v11","6","4606000","","","","0"
"1956-04","Ontario","2016A000235","Persons","249","units","0","v12","7","5375000","","","","0"
"1956-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","848000","","","","0"
"1956-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","879000","","","","0"
"1956-04","Alberta","2016A000248","Persons","249","units","0","v15","10","1118000","","","","0"
"1956-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","1388000","","","","0"
"1956-04","Yukon","2016A000260","Persons","249","units","0","v4","12","12000","","","","0"
"1956-04","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","19000","","","t","0"
"1956-07","Canada","2016A000011124","Persons","249","units","0","v1","1","16123000","","","","0"
"1956-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","416000","","","","0"
"1956-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","99000","","","","0"
"1956-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","695000","","","","0"
"1956-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","556000","","","","0"
"1956-07","Quebec","2016A000224","Persons","249","units","0","v11","6","4641000","","","","0"
"1956-07","Ontario","2016A000235","Persons","249","units","0","v12","7","5423000","","","","0"
"1956-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","850000","","","","0"
"1956-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","881000","","","","0"
"1956-07","Alberta","2016A000248","Persons","249","units","0","v15","10","1126000","","","","0"
"1956-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","1405000","","","","0"
"1956-07","Yukon","2016A000260","Persons","249","units","0","v4","12","12000","","","","0"
"1956-07","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","19000","","","t","0"
"1956-10","Canada","2016A000011124","Persons","249","units","0","v1","1","16235000","","","","0"
"1956-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","418000","","","","0"
"1956-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","99000","","","","0"
"1956-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","695000","","","","0"
"1956-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","557000","","","","0"
"1956-10","Quebec","2016A000224","Persons","249","units","0","v11","6","4671000","","","","0"
"1956-10","Ontario","2016A000235","Persons","249","units","0","v12","7","5470000","","","","0"
"1956-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","852000","","","","0"
"1956-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","880000","","","","0"
"1956-10","Alberta","2016A000248","Persons","249","units","0","v15","10","1136000","","","","0"
"1956-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","1426000","","","","0"
"1956-10","Yukon","2016A000260","Persons","249","units","0","v4","12","12000","","","","0"
"1956-10","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","19000","","","t","0"
"1957-01","Canada","2016A000011124","Persons","249","units","0","v1","1","16352000","","","","0"
"1957-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","420000","","","","0"
"1957-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","99000","","","","0"
"1957-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","695000","","","","0"
"1957-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","558000","","","","0"
"1957-01","Quebec","2016A000224","Persons","249","units","0","v11","6","4702000","","","","0"
"1957-01","Ontario","2016A000235","Persons","249","units","0","v12","7","5529000","","","","0"
"1957-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","851000","","","","0"
"1957-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","874000","","","","0"
